C_uM,pH,Kd_uM,E_free,EC,v_rel,occupancy
2.0,4.8,81.09050486794658,0.9762093711155089,0.023790628884491127,0.9762093711155089,0.023790628884491127
2.0,4.9,66.6760716081662,0.9712839061119851,0.028716093888014882,0.971283906111985,0.028716093888014882
2.0,5.0,54.823909807159254,0.9653915179083086,0.03460848209169143,0.9653915179083086,0.03460848209169143
2.0,5.1,45.078556880297896,0.9583653592537367,0.04163464074626333,0.9583653592537366,0.04163464074626333
2.0,5.2,37.06551206504589,0.9500194068044081,0.049980593195591894,0.9500194068044081,0.049980593195591894
2.0,5.3,30.476844862008484,0.940150214121779,0.059849785878220985,0.940150214121779,0.059849785878220985
2.0,5.4,25.05936168136361,0.9285405535859521,0.07145944641404789,0.928540553585952,0.07145944641404789
2.0,5.5,20.60487595486652,0.9149654128729257,0.08503458712707435,0.9149654128729257,0.08503458712707435
2.0,5.6,16.942207806960145,0.8992007044839347,0.10079929551606526,0.8992007044839347,0.10079929551606526
2.0,5.7,13.930605843148854,0.8810348114685222,0.11896518853147775,0.8810348114685222,0.11896518853147775
2.0,5.8,11.454338263838874,0.8602827135162094,0.13971728648379056,0.8602827135162094,0.13971728648379056
2.0,5.9,9.418245447449001,0.8368019365960331,0.16319806340396692,0.836801936596033,0.16319806340396692
2.0,6.0,7.74408309456241,0.8105090203172862,0.18949097968271378,0.8105090203172861,0.18949097968271378
2.0,6.1,6.367515405083318,0.7813947266726355,0.21860527332736446,0.7813947266726354,0.21860527332736446
2.0,6.2,5.235642740254498,0.7495359751767317,0.25046402482326835,0.7495359751767317,0.25046402482326835
2.0,6.3,4.304968760923007,0.7151026116613806,0.28489738833861944,0.7151026116613806,0.28489738833861944
2.0,6.4,3.5397289219206893,0.6783576461834651,0.32164235381653494,0.6783576461834651,0.32164235381653494
2.0,6.5,2.9105160888543584,0.639650452832706,0.36034954716729395,0.639650452832706,0.36034954716729395
2.0,6.6,2.393150461613195,0.599403422273534,0.40059657772646595,0.599403422273534,0.40059657772646595
2.0,6.699999999999999,1.9677503772788911,0.5580934577257826,0.44190654227421744,0.5580934577257826,0.44190654227421744
2.0,6.8,1.617968284648143,0.5162303024752315,0.4837696975247685,0.5162303024752315,0.4837696975247685
2.0,6.9,1.3303625298994048,0.4743338798687873,0.5256661201312127,0.4743338798687873,0.5256661201312127
2.0,7.0,1.093880811974777,0.43291263592718443,0.5670873640728156,0.4329126359271844,0.5670873640728156
2.0,7.1,0.8994354575643952,0.3924444156428384,0.6075555843571616,0.3924444156428384,0.6075555843571616
2.0,7.199999999999999,0.7395541940841053,0.3533608316573258,0.6466391683426742,0.3533608316573258,0.6466391683426742
2.0,7.3,0.6080930003231846,0.3160355391307488,0.6839644608692512,0.3160355391307488,0.6839644608692512
2.0,7.4,0.5,0.28077640640441515,0.7192235935955849,0.28077640640441515,0.7192235935955849
2.0,7.5,0.4111213249735359,0.2478213036853969,0.7521786963146031,0.24782130368539687,0.7521786963146031
2.0,7.6,0.33804148769599135,0.21733710905054815,0.7826628909494519,0.21733710905054815,0.7826628909494519
10.0,4.5,145.87135070005846,0.9362275719694395,0.06377242803056049,0.9362275719694394,0.06377242803056049
10.0,4.6,119.94164595097462,0.9235855093946128,0.07641449060538719,0.9235855093946128,0.07641449060538719
10.0,4.7,98.62113680574267,0.9087006770957089,0.0912993229042911,0.9087006770957089,0.0912993229042911
10.0,4.8,81.09050486794658,0.8912828261910661,0.10871717380893386,0.8912828261910661,0.10871717380893386
10.0,4.9,66.6760716081662,0.8710461421377502,0.12895385786224978,0.8710461421377502,0.12895385786224978
10.0,5.0,54.823909807159254,0.8477272617781324,0.1522727382218676,0.8477272617781324,0.1522727382218676
10.0,5.1,45.078556880297896,0.8211080511436961,0.17889194885630388,0.8211080511436961,0.17889194885630388
10.0,5.2,37.06551206504589,0.7910422061871856,0.20895779381281443,0.7910422061871856,0.20895779381281443
10.0,5.3,30.476844862008484,0.7574836218342114,0.24251637816578864,0.7574836218342113,0.24251637816578864
10.0,5.4,25.05936168136361,0.7205132770412064,0.2794867229587936,0.7205132770412064,0.2794867229587936
10.0,5.5,20.60487595486652,0.680360414027664,0.319639585972336,0.680360414027664,0.319639585972336
10.0,5.6,16.942207806960145,0.6374134397809534,0.36258656021904656,0.6374134397809534,0.36258656021904656
10.0,5.7,13.930605843148854,0.5922165964115145,0.4077834035884855,0.5922165964115145,0.4077834035884855
